Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
04.07.2017	Dienstag		5.Mose 32,7	Gedenke der vorigen Zeiten und hab acht auf die Jahre von Geschlecht zu Geschlecht. Frage deinen Vater, der wird dir’s verkünden, deine Ältesten, die werden dir’s sagen.	Lukas 18,16	Jesus rief die Kinder zu sich und sprach: Lasset die Kinder zu mir kommen und wehret ihnen nicht, denn solchen gehört das Reich Gottes.
05.07.2017	Mittwoch		1.Mose 18,27	Ich habe es gewagt, zu meinem Herrn zu reden, obwohl ich Staub und Asche bin.	Kolosser 4,2	Seid beharrlich im Gebet.
06.07.2017	Donnerstag		Jesaja 43,13	Auch künftig bin ich derselbe, und niemand ist da, der aus meiner Hand erretten kann. Ich wirke; wer will’s wenden?	Lukas 1,51	/Maria sprach:/ Gewaltiges hat er vollbracht mit seinem Arm, zerstreut hat er, die hochmütig sind in ihrem Herzen.
07.07.2017	Freitag		Psalm 62,10	Nur Hauch sind die Menschen, Trug die Sterblichen. Auf der Waage schnellen sie empor, allesamt leichter als Hauch.	Lukas 19,10	Der Menschensohn ist gekommen, zu suchen und selig zu machen, was verloren ist.
08.07.2017	Samstag		Psalm 118,24	Dies ist der Tag, den der HERR macht; lasst uns freuen und fröhlich an ihm sein.	Lukas 15,22-24	Der Vater sprach zu seinen Knechten: Bringt schnell das beste Gewand her und zieht es ihm an und gebt ihm einen Ring an seine Hand und Schuhe an seine Füße und bringt das gemästete Kalb und schlachtet’s; lasst uns essen und fröhlich sein! Denn dieser mein Sohn war tot und ist wieder lebendig geworden; er war verloren und ist gefunden worden.
09.07.2017	Sonntag	4. Sonntag nach Trinitatis	Zefanja 3,14-15	Jauchze, du Tochter Zion! Frohlocke, Israel! Freue dich und sei fröhlich von ganzem Herzen, du Tochter Jerusalem! Denn der HERR hat deine Strafe weggenommen.	Apostelgeschichte 13,23	Aus Davids Geschlecht hat Gott, wie er verheißen hat, Jesus kommen lassen als Heiland für das Volk Israel.
10.07.2017	Montag		1.Mose 1,1	Am Anfang schuf Gott Himmel und Erde.	Hebräer 11,3	Durch den Glauben erkennen wir, dass die Welt durch Gottes Wort geschaffen ist.
11.07.2017	Dienstag		Psalm 71,3	Sei mir ein starker Hort, dahin ich immer fliehen kann, der du zugesagt hast, mir zu helfen.	Apostelgeschichte 20,36-38	Paulus kniete nieder und betete mit ihnen allen. Da begannen alle laut zu weinen und sie fielen Paulus um den Hals und küssten ihn, am allermeisten betrübt über das Wort, das er gesagt hatte, sie würden sein Angesicht nicht mehr sehen. Und sie geleiteten ihn auf das Schiff.
12.07.2017	Mittwoch		Hesekiel 39,29	Ich will mein Angesicht nicht mehr vor ihnen verbergen; denn ich habe meinen Geist über das Haus Israel ausgegossen, spricht Gott der HERR.	Epheser 1,13	Durch Christus hat Gott auch euch sein Siegel aufgedrückt: Er hat euch den Heiligen Geist gegeben, den er den Seinen versprochen hatte.
13.07.2017	Donnerstag		1.Könige 8,27	/Salomo sprach bei der Einweihung des Tempels:/ Sollte Gott wirklich auf Erden wohnen?	Johannes 1,18	Niemand hat Gott je gesehen; der Eingeborene, der Gott ist und in des Vaters Schoß ist, der hat es verkündigt.
14.07.2017	Freitag		Psalm 85,10.11	Gottes Hilfe ist nahe denen, die ihn fürchten, dass Güte und Treue einander begegnen, Gerechtigkeit und Friede sich küssen.	2.Petrus 3,13	Wir warten auf einen neuen Himmel und eine neue Erde nach seiner Verheißung, in denen Gerechtigkeit wohnt.
15.07.2017	Samstag		2.Mose 33,13	/Mose sprach zu dem HERRN:/ Sieh doch, dass dies Volk dein Volk ist.	Johannes 10,3-4	Der gute Hirte ruft seine Schafe mit Namen und führt sie hinaus. Und wenn er alle seine Schafe hinausgelassen hat, geht er vor ihnen her, und die Schafe folgen ihm nach; denn sie kennen seine Stimme.
16.07.2017	Sonntag	5. Sonntag nach Trinitatis	Psalm 62,8	Bei Gott ist mein Heil und meine Ehre.	Lukas 22,32	/Jesus spricht zu Petrus:/ Ich habe für dich gebeten, dass dein Glaube nicht aufhöre.
17.07.2017	Montag		Sacharja 9,10	Er wird Frieden gebieten den Völkern.	Apostelgeschichte 10,35-36	/Petrus sprach:/ In jedem Volk, wer Gott fürchtet und recht tut, der ist ihm angenehm. Er hat das Wort dem Volk Israel gesandt und Frieden verkündigt durch Jesus Christus, welcher ist Herr über alle.
18.07.2017	Dienstag		Psalm 25,10	Die Wege des HERRN sind lauter Güte und Treue für alle, die seinen Bund und seine Gebote halten.	Lukas 16,10	Wer im Geringsten treu ist, der ist auch im Großen treu; und wer im Geringsten ungerecht ist, der ist auch im Großen ungerecht.
19.07.2017	Mittwoch		2.Mose 15,26	Ich bin der HERR, dein Arzt.	1.Petrus 2,24	Durch Christi Wunden seid ihr heil geworden.
20.07.2017	Donnerstag		Hosea 14,4	Bei dir finden die Verwaisten Erbarmen.	Offenbarung 2,8-9	Das sagt der Erste und der Letzte, der tot war und ist lebendig geworden: Ich kenne deine Bedrängnis.
21.07.2017	Freitag		Psalm 118,26	Gelobt sei, der da kommt im Namen des HERRN!	1.Johannes 4,9	Darin ist erschienen die Liebe Gottes unter uns, dass Gott seinen eingebornen Sohn gesandt hat in die Welt, damit wir durch ihn leben sollen.
22.07.2017	Samstag		Jesaja 64,5	Wir wurden alle wie die Unreinen, und alle unsre Gerechtigkeit ist wie ein beflecktes Kleid.	Lukas 22,61-62	Der Herr wandte sich und sah Petrus an. Und Petrus gedachte an des Herrn Wort, wie er zu ihm gesagt hatte: Ehe heute der Hahn kräht, wirst du mich dreimal verleugnen. Und Petrus ging hinaus und weinte bitterlich.
23.07.2017	Sonntag	6. Sonntag nach Trinitatis	1.Samuel 2,3	Lasst euer großes Rühmen und Trotzen; denn der HERR ist ein Gott, der es merkt, und von ihm werden Taten gewogen.	1.Johannes 3,18	Lasst uns nicht lieben mit Worten noch mit der Zunge, sondern mit der Tat und mit der Wahrheit.
24.07.2017	Montag		Jeremia 3,15	Ich will euch Hirten geben nach meinem Herzen, die euch weiden sollen in Einsicht und Weisheit.	1.Timotheus 2,1-2	Bringt Bitten und Fürbitten und Dank für alle Menschen vor Gott! Betet für die Regierenden und für alle, die Gewalt haben, damit wir in Ruhe und Frieden leben können, in Ehrfurcht vor Gott und in Rechtschaffenheit.
25.07.2017	Dienstag		Psalm 116,8	Du hast meine Seele vom Tode errettet, mein Auge von den Tränen, meinen Fuß vom Gleiten.	Philipper 2,27	/Paulus schreibt:/ Epaphroditus war todkrank, aber Gott hat sich über ihn erbarmt; nicht allein aber über ihn, sondern auch über mich, damit ich nicht eine Traurigkeit über die andere hätte.
26.07.2017	Mittwoch		Psalm 68,27	Lobet Gott in den Versammlungen.	Römer 15,5-6	Der Gott der Geduld und des Trostes gebe euch, dass ihr einträchtig gesinnt seid untereinander, wie es Christus Jesus entspricht, damit ihr einmütig mit einem Munde Gott lobt, den Vater unseres Herrn Jesus Christus.
27.07.2017	Donnerstag		1.Samuel 15,22	Gehorsam ist besser als Opfer.	Lukas 11,28	Selig sind, die das Wort Gottes hören und bewahren.
28.07.2017	Freitag		Hiob 38,41	Wer bereitet dem Raben die Speise, wenn seine Jungen zu Gott rufen und irrefliegen, weil sie nichts zu essen haben?	Römer 10,12	Der Herr ist reich für alle, die ihn anrufen.
29.07.2017	Samstag		Psalm 39,6	Siehe, meine Tage sind eine Handbreit bei dir, und mein Leben ist wie nichts vor dir. Ach wie gar nichts sind alle Menschen, die doch so sicher leben!	Johannes 17,15	/Jesus betet:/ Ich bitte nicht, dass du sie aus der Welt nimmst, sondern dass du sie bewahrst vor dem Bösen.
30.07.2017	Sonntag	7. Sonntag nach Trinitatis	Jeremia 7,4-5	Verlasst euch nicht auf Lügenworte, wenn sie sagen: »Hier ist des HERRN Tempel, hier ist des HERRN Tempel, hier ist des HERRN Tempel!« Sondern bessert euer Leben und euer Tun.	1.Korinther 4,20	Das Reich Gottes steht nicht in Worten, sondern in Kraft.
31.07.2017	Montag		Sacharja 3,9	Ich will die Sünde des Landes wegnehmen an einem einzigen Tag.	1.Petrus 2,24	Christus hat unsre Sünden selbst hinaufgetragen an seinem Leibe auf das Holz, damit wir, den Sünden abgestorben, der Gerechtigkeit leben.
01.08.2017	Dienstag		Psalm 18,30	Mit meinem Gott kann ich über Mauern springen.	1.Johannes 5,4	Unser Glaube ist der Sieg, der die Welt überwunden hat.
02.08.2017	Mittwoch		Jesaja 44,24	So spricht der HERR, dein Erlöser, der dich von Mutterleibe bereitet hat: Ich bin der HERR, der alles schafft, der den Himmel ausbreitet allein und die Erde festmacht ohne Gehilfen.	Apostelgeschichte 17,24-25	Gott, der die Welt gemacht hat und alles, was darinnen ist, er, der Herr des Himmels und der Erde, wohnt nicht in Tempeln, die mit Händen gemacht sind. Auch lässt er sich nicht von Menschenhänden dienen wie einer, der etwas nötig hätte, da er doch selber jedermann Leben und Odem und alles gibt.
03.08.2017	Donnerstag		Jesaja 26,4	Verlasst euch auf den HERRN immerdar; denn Gott der HERR ist ein Fels ewiglich.	Lukas 8,25	/Jesus sprach zu den Jüngern:/ Wo ist euer Glaube?
04.08.2017	Freitag		1.Samuel 17,45	/David sprach zu Goliat:/ Du kommst zu mir mit Schwert, Spieß und Sichelschwert, ich aber komme zu dir im Namen des HERRN Zebaoth.	Epheser 3,16	/Paulus schreibt:/ Ich bitte Gott, dass er euch aus dem Reichtum seiner Herrlichkeit beschenkt und euch durch seinen Geist innerlich stark macht.
05.08.2017	Samstag		Jeremia 42,6	Es sei Gutes oder Schlechtes – auf die Stimme des HERRN, unseres Gottes, werden wir hören.	1.Thessalonicher 5,19-20	Den Geist löscht nicht aus. Prophetische Rede verachtet nicht.
06.08.2017	Sonntag	8. Sonntag nach Trinitatis	Psalm 105,3	Es freue sich das Herz derer, die den HERRN suchen!	Apostelgeschichte 20,7	Am ersten Tag der Woche, als wir versammelt waren, das Brot zu brechen, predigte ihnen Paulus.
07.08.2017	Montag		Daniel 2,22	Gott offenbart, was tief und verborgen ist.	Johannes 14,26	Der Tröster, der Heilige Geist, den mein Vater senden wird in meinem Namen, der wird euch alles lehren und euch an alles erinnern, was ich euch gesagt habe.
08.08.2017	Dienstag		Jesaja 65,1	Zu einem Volk, das meinen Namen nicht anrief, sagte ich: Hier bin ich, hier bin ich!	Lukas 14,22-23	/Der Knecht im Gleichnis sprach:/ Herr, es ist geschehen, was du befohlen hast; es ist aber noch Raum da. Und der Herr sprach zu dem Knecht: Geh hinaus auf die Landstraßen und an die Zäune und nötige sie hereinzukommen, dass mein Haus voll werde.
09.08.2017	Mittwoch		Sprüche 2,6	Der HERR gibt Weisheit, und aus seinem Munde kommt Erkenntnis und Einsicht.	Lukas 4,14-15	Jesus kam in der Kraft des Geistes wieder nach Galiläa und die Kunde von ihm erscholl durch das ganze umliegende Land. Und er lehrte in ihren Synagogen und wurde von jedermann gepriesen.
10.08.2017	Donnerstag		Psalm 34,9	Schmecket und sehet, wie freundlich der HERR ist. Wohl dem, der auf ihn trauet!	Johannes 6,51	/Jesus spricht:/ Ich bin das lebendige Brot, das vom Himmel gekommen ist. Wer von diesem Brot isst, der wird leben in Ewigkeit.
11.08.2017	Freitag		1.Mose 9,9-10.11	/Gott sprach zu Noah:/ Siehe, ich richte mit euch einen Bund auf und mit euren Nachkommen und mit allem lebendigen Getier, dass hinfort keine Sintflut mehr kommen soll, die die Erde verderbe.	2.Korinther 5,19	Gott hat unter uns aufgerichtet das Wort von der Versöhnung.
12.08.2017	Samstag		2.Samuel 7,28	HERR, du bist Gott, und deine Worte sind Wahrheit.	Lukas 21,33	/Jesus spricht:/ Himmel und Erde werden vergehen; aber meine Worte werden nicht vergehen.
13.08.2017	Sonntag	9. Sonntag nach Trinitatis	Psalm 34,19	Der HERR ist nahe denen, die zerbrochenen Herzens sind, und hilft denen, die ein zerschlagenes Gemüt haben.	Apostelgeschichte 9,17	Hananias ging hin und kam in das Haus und legte die Hände auf ihn und sprach: Lieber Bruder Saul, der Herr hat mich gesandt, Jesus, der dir auf dem Wege hierher erschienen ist, dass du wieder sehend und mit dem Heiligen Geist erfüllt werdest.
14.08.2017	Montag		Josua 22,5	Achtet genau darauf, dass ihr den HERRN, euren Gott, liebt und wandelt auf allen seinen Wegen.	Philipper 1,9-10	/Paulus schreibt:/ Ich bete darum, dass eure Liebe immer noch reicher werde an Erkenntnis und aller Erfahrung, sodass ihr prüfen könnt, was das Beste sei, damit ihr lauter und unanstößig seid für den Tag Christi.
15.08.2017	Dienstag		Psalm 81,8	/Gott spricht:/ Als du mich in der Not anriefst, half ich dir heraus.	Markus 1,40-42	Es kam zu Jesus ein Aussätziger, der bat ihn, kniete nieder und sprach zu ihm: Willst du, so kannst du mich reinigen. Und es jammerte ihn und er streckte seine Hand aus, rührte ihn an und sprach zu ihm: Ich will’s tun; sei rein! Und alsbald wich der Aussatz von ihm und er wurde rein.
16.08.2017	Mittwoch		Amos 5,24	Es ströme das Recht wie Wasser und die Gerechtigkeit wie ein nie versiegender Bach.	2.Korinther 9,10	Der aber Samen gibt dem Sämann und Brot zur Speise, der wird auch euch Samen geben und ihn mehren und wachsen lassen die Früchte eurer Gerechtigkeit.
17.08.2017	Donnerstag		Psalm 34,20	Der Gerechte muss viel leiden, aber aus alledem hilft ihm der HERR.	1.Thessalonicher 2,2	/Paulus schreibt:/ Als wir zuvor gelitten hatten und misshandelt worden waren in Philippi, wie ihr wisst, fanden wir dennoch in unserm Gott den Mut, bei euch das Evangelium Gottes zu sagen in hartem Kampf.
18.08.2017	Freitag		Jesaja 12,3	Ihr werdet mit Freuden Wasser schöpfen aus den Brunnen des Heils.	Johannes 7,37-38	/Jesus spricht:/ Wen da dürstet, der komme zu mir und trinke! Wer an mich glaubt, wie die Schrift sagt, von dessen Leib werden Ströme lebendigen Wassers fließen.
19.08.2017	Samstag		Jesaja 60,20	Deine Sonne wird nicht mehr untergehen und dein Mond nicht den Schein verlieren; denn der HERR wird dein ewiges Licht sein.	1.Petrus 1,3	Gelobt sei Gott, der Vater unseres Herrn Jesus Christus, der uns nach seiner großen Barmherzigkeit wiedergeboren hat zu einer lebendigen Hoffnung durch die Auferstehung Jesu Christi von den Toten.
20.08.2017	Sonntag	10. Sonntag nach Trinitatis (Israelsonntag)	Richter 5,31	Die den HERRN lieb haben sollen sein, wie die Sonne aufgeht in ihrer Pracht!	Epheser 5,8	Ihr wart früher Finsternis; nun aber seid ihr Licht in dem Herrn. Wandelt als Kinder des Lichts.
21.08.2017	Montag		Klagelieder 3,31-32	Der HERR verstößt nicht ewig; sondern er betrübt wohl und erbarmt sich wieder nach seiner großen Güte.	1.Petrus 5,10	Der Gott aller Gnade aber, der euch berufen hat zu seiner ewigen Herrlichkeit in Christus, der wird euch, die ihr eine kleine Zeit leidet, aufrichten, stärken, kräftigen, gründen.
22.08.2017	Dienstag		2.Könige 13,23	Der HERR wandte sich Israel wieder zu um seines Bundes willen mit Abraham, Isaak und Jakob und wollte sie nicht verderben, verwarf sie auch nicht von seinem Angesicht bis auf diese Stunde.	Galater 3,29	Gehört ihr Christus an, so seid ihr ja Abrahams Kinder und nach der Verheißung Erben.
23.08.2017	Mittwoch		5.Mose 10,17	Der HERR, euer Gott, ist der Gott der Götter und der Herr der Herren, der große, starke und furchtbare Gott, der kein Ansehen der Person kennt und keine Bestechung annimmt.	Matthäus 28,18	/Jesus Christus spricht:/ Mir ist gegeben alle Gewalt im Himmel und auf Erden.
24.08.2017	Donnerstag		Psalm 62,11	Fällt euch Reichtum zu, so hängt euer Herz nicht daran.	Apostelgeschichte 4,36-37	Barnabas – das heißt übersetzt: Sohn des Trostes –, ein Levit, aus Zypern gebürtig, der hatte einen Acker und verkaufte ihn und brachte das Geld und legte es den Aposteln zu Füßen.
25.08.2017	Freitag		1.Samuel 17,18	Isai sprach zu David: Sieh nach deinen Brüdern, ob’s ihnen gut geht.	2.Korinther 8,23-24	Ob es sich nun um Titus handle, meinen Gefährten und Mitarbeiter bei euch, oder um unsere Brüder, die als Abgesandte der Gemeinden Spiegel des Glanzes Christi sind: Erweist ihnen eure Liebe vor den Augen der Gemeinden und beweist damit, dass unser Stolz auf euch berechtigt ist!
26.08.2017	Samstag		1.Könige 19,7	Der Engel des HERRN rührte Elia an und sprach: Steh auf und iss! Denn du hast einen weiten Weg vor dir.	Apostelgeschichte 4,29	Gib deinen Knechten, mit allem Freimut zu reden dein Wort.
27.08.2017	Sonntag	11. Sonntag nach Trinitatis	Jesaja 7,9	Glaubt ihr nicht, so bleibt ihr nicht.	2.Korinther 13,5	Erforscht euch selbst, ob ihr im Glauben steht; prüft euch selbst! Oder erkennt ihr an euch selbst nicht, dass Jesus Christus in euch ist?
28.08.2017	Montag		Sacharja 14,9	Der HERR wird König sein über alle Lande. An jenem Tag wird der HERR der einzige sein und sein Name der einzige.	Philipper 2,6-7	Jesus Christus, der in göttlicher Gestalt war, hielt es nicht für einen Raub, Gott gleich zu sein, sondern entäußerte sich selbst und nahm Knechtsgestalt an, ward den Menschen gleich.
29.08.2017	Dienstag		Sprüche 24,29	Sprich nicht: »Wie einer mir tut, so will ich ihm auch tun und einem jeglichen sein Tun vergelten.«	Lukas 17,4	Wenn dein Bruder siebenmal am Tag an dir sündigen würde und siebenmal wieder zu dir käme und spräche: Es reut mich!, so sollst du ihm vergeben.
30.08.2017	Mittwoch		Daniel 6,27	Er ist der lebendige Gott, der ewig bleibt, und sein Reich ist unvergänglich.	Lukas 11,2	Vater! Dein Name werde geheiligt. Dein Reich komme.
31.08.2017	Donnerstag		Jeremia 17,13	Alle, die dich verlassen, müssen zuschanden werden; denn sie verlassen den HERRN, die Quelle des lebendigen Wassers.	Lukas 14,17	Kommt, es ist alles schon bereit!
01.09.2017	Freitag		Psalm 90,1.2	Herr, du bist unsre Zuflucht für und für. Ehe denn die Berge wurden und die Erde und die Welt geschaffen wurden, bist du, Gott, von Ewigkeit zu Ewigkeit.	1.Korinther 8,6	Wir haben doch nur einen Gott, den Vater, von dem alle Dinge sind und wir zu ihm.
02.09.2017	Samstag		Jeremia 5,25	Eure Sünden halten das Gute von euch fern.	Lukas 18,13	Der Zöllner stand ferne, wollte auch die Augen nicht aufheben zum Himmel, sondern schlug an seine Brust und sprach: Gott, sei mir Sünder gnädig!
03.09.2017	Sonntag	12. Sonntag nach Trinitatis	Nehemia 8,8	Sie lasen aus dem Buch, dem Gesetz Gottes, Abschnitt für Abschnitt und erklärten es, sodass man verstand, was gelesen wurde.	Apostelgeschichte 28,30-31	Paulus blieb zwei volle Jahre in seiner eigenen Wohnung und nahm alle auf, die zu ihm kamen, predigte das Reich Gottes und lehrte von dem Herrn Jesus Christus mit allem Freimut ungehindert.
04.09.2017	Montag		2.Mose 35,29	Die Israeliten, Männer und Frauen, die ihr Herz dazu trieb, brachten freiwillige Gaben zu allem Werk, das der HERR durch Mose geboten hatte.	Lukas 6,38	Gebt, so wird euch gegeben. Ein volles, gedrücktes, gerütteltes und überfließendes Maß wird man in euren Schoß geben; denn eben mit dem Maß, mit dem ihr messt, wird man euch zumessen.
05.09.2017	Dienstag		Psalm 8,2	HERR, unser Herrscher, wie herrlich ist dein Name in allen Landen.	Philipper 2,9-10	Gott hat Christus Jesus erhöht und hat ihm den Namen gegeben, der über alle Namen ist, dass in dem Namen Jesu sich beugen sollen aller derer Knie, die im Himmel und auf Erden und unter der Erde sind.
06.09.2017	Mittwoch		Daniel 9,18	Wir liegen vor dir mit unserm Gebet und vertrauen nicht auf unsre Gerechtigkeit, sondern auf deine große Barmherzigkeit.	Apostelgeschichte 15,11	Wir glauben, durch die Gnade des Herrn Jesus selig zu werden.
07.09.2017	Donnerstag		Hiob 9,4	Gott ist weise und mächtig; wer stellte sich ihm entgegen und blieb unversehrt?	Offenbarung 3,3	Denk daran, wie du die Botschaft empfangen und gehört hast, bewahre sie und kehre um!
08.09.2017	Freitag		1.Mose 3,8	Adam versteckte sich mit seiner Frau vor dem Angesicht Gottes des HERRN.	Matthäus 5,8	Selig sind, die reinen Herzens sind; denn sie werden Gott schauen.
09.09.2017	Samstag		Jesaja 63,15	So schau nun vom Himmel und sieh herab von deiner heiligen, herrlichen Wohnung! Wo ist nun dein Eifer und deine Macht?	Lukas 12,49-50	/Jesus spricht:/ Ich bin gekommen, Feuer auf die Erde zu werfen; was wollte ich lieber, als dass es schon brennte! Aber ich muss mich taufen lassen mit einer Taufe, und wie ist mir so bange, bis sie vollendet ist!
10.09.2017	Sonntag	13. Sonntag nach Trinitatis	Jesaja 32,18	Mein Volk wird in friedlichen Auen wohnen, in sicheren Wohnungen.	2.Thessalonicher 3,16	Der Herr des Friedens gebe euch Frieden allezeit und auf alle Weise. Der Herr sei mit euch allen!
11.09.2017	Montag		Micha 7,18	Wo ist solch ein Gott, wie du bist, der die Sünde vergibt und erlässt die Schuld denen, die geblieben sind als Rest seines Erbteils; der an seinem Zorn nicht ewig festhält, denn er hat Gefallen an Gnade!	Kolosser 2,14	Gott hat den Schuldbrief getilgt, der mit seinen Forderungen gegen uns war, und hat ihn aufgehoben und an das Kreuz geheftet.
12.09.2017	Dienstag		Jesaja 43,1	Fürchte dich nicht, denn ich habe dich erlöst; ich habe dich bei deinem Namen gerufen; du bist mein!	Apostelgeschichte 26,22	Gottes Hilfe habe ich erfahren bis zum heutigen Tag.
13.09.2017	Mittwoch		Psalm 32,8	Der HERR spricht: Ich will dich unterweisen und dir den Weg zeigen, den du gehen sollst.	Johannes 8,31-32	/Jesus spricht:/ Wenn ihr bleiben werdet an meinem Wort, so seid ihr wahrhaftig meine Jünger und werdet die Wahrheit erkennen, und die Wahrheit wird euch frei machen.
14.09.2017	Donnerstag		Psalm 31,16	Meine Zeit steht in deinen Händen.	1.Thessalonicher 5,6	Lasst uns wachen und nüchtern sein.
15.09.2017	Freitag		Jeremia 18,14-15	Versiegen die laufenden Wasser aus sprudelnden Quellen? Mein Volk jedoch hat mich vergessen.	Offenbarung 3,20	Siehe, ich stehe vor der Tür und klopfe an. Wer immer auf meine Stimme hört und die Tür öffnet, bei dem werde ich einkehren und das Mahl halten, ich mit ihm und er mit mir.
16.09.2017	Samstag		Prediger 5,1	Sei nicht schnell mit deinem Munde und lass dein Herz nicht eilen, etwas zu reden vor Gott; denn Gott ist im Himmel und du auf Erden; darum lass deiner Worte wenig sein.	Lukas 11,1	Herr, lehre uns beten.
17.09.2017	Sonntag	14. Sonntag nach Trinitatis	Psalm 56,11	Ich will rühmen Gottes Wort. Ich will rühmen des HERRN Wort.	Johannes 6,63	/Jesus spricht:/ Die Worte, die ich zu euch geredet habe, die sind Geist und sind Leben.
18.09.2017	Montag		Psalm 115,16	Der Himmel ist der Himmel des HERRN; aber die Erde hat er den Menschenkindern gegeben.	Lukas 12,48	Wem viel gegeben ist, bei dem wird man viel suchen.
19.09.2017	Dienstag		Zefanja 3,9	Dann aber will ich den Völkern reine Lippen geben, dass sie alle des HERRN Namen anrufen und ihm einträchtig dienen.	Philipper 2,11	Alle Zungen sollen bekennen, dass Jesus Christus der Herr ist, zur Ehre Gottes, des Vaters.
20.09.2017	Mittwoch		Joel 3,1	Es kommt die Zeit, da werde ich meinen Geist ausgießen über alle Menschen.	Apostelgeschichte 2,33	/Petrus sprach:/ Da Jesus nun durch die rechte Hand Gottes erhöht ist und empfangen hat den verheißenen Heiligen Geist vom Vater, hat er diesen ausgegossen, wie ihr seht und hört.
21.09.2017	Donnerstag		Psalm 127,2	Es ist umsonst, dass ihr früh aufsteht und hernach lange sitzet und esset euer Brot mit Sorgen; denn seinen Freunden gibt er es im Schlaf.	Philipper 4,19	Mein Gott wird all eurem Mangel abhelfen nach seinem Reichtum in Herrlichkeit in Christus Jesus.
22.09.2017	Freitag		Sprüche 20,12	Ein hörendes Ohr und ein sehendes Auge, die macht beide der HERR.	1.Thessalonicher 5,21	Prüft aber alles und das Gute behaltet.
23.09.2017	Samstag		Psalm 8,5	Was ist der Mensch, dass du seiner gedenkst, und des Menschen Kind, dass du dich seiner annimmst?	Epheser 1,4-6	In seiner Liebe hat er uns dazu vorherbestimmt, seine Kinder zu sein durch Jesus Christus nach dem Wohlgefallen seines Willens, zum Lob seiner herrlichen Gnade.
24.09.2017	Sonntag	15. Sonntag nach Trinitatis	5.Mose 30,19	Ich habe euch Leben und Tod, Segen und Fluch vorgelegt, dass du das Leben erwählst.	Johannes 10,10	/Jesus spricht:/ Ich bin gekommen, damit sie das Leben in Fülle haben.
25.09.2017	Montag		Psalm 30,6	Sein Zorn währet einen Augenblick und lebenslang seine Gnade. Den Abend lang währet das Weinen, aber des Morgens ist Freude.	Epheser 2,8	Aus Gnade seid ihr gerettet durch Glauben, und das nicht aus euch: Gottes Gabe ist es.
26.09.2017	Dienstag		Nehemia 9,32	Du unser Gott, du großer Gott, mächtig und schrecklich, der du Bund und Treue hältst, achte nicht gering all das Elend, das uns getroffen hat.	Markus 10,48-49	/Bartimäus schrie:/ Du Sohn Davids, erbarme dich meiner! Und Jesus blieb stehen und sprach: Ruft ihn her! Und sie riefen den Blinden und sprachen zu ihm: Sei getrost, steh auf! Er ruft dich!
27.09.2017	Mittwoch		Prediger 3,14	Alles, was Gott tut, das besteht für ewig; man kann nichts dazutun noch wegtun.	Offenbarung 3,7	Der Wahrhaftige hat den Schlüssel Davids, der auftut, und niemand schließt zu, und der zuschließt, und niemand tut auf.
28.09.2017	Donnerstag		Sprüche 3,12	Wen der HERR liebt, den weist er zurecht, und hat doch Wohlgefallen an ihm wie ein Vater am Sohn.	1.Thessalonicher 2,6-8	Wir haben nicht Ehre gesucht von den Leuten, weder von euch noch von andern – obwohl wir unser Gewicht als Christi Apostel hätten einsetzen können. Wie eine Amme ihre Kinder pflegt, so haben wir Herzenslust an euch.
29.09.2017	Freitag	Michaelistag	5.Mose 8,2	Gedenke des ganzen Weges, den dich der HERR, dein Gott, geleitet hat diese vierzig Jahre in der Wüste, auf dass er dich demütigte und versuchte, damit kundwürde, was in deinem Herzen wäre.	Epheser 5,15-16	So seht nun sorgfältig darauf, wie ihr euer Leben führt, nicht als Unweise, sondern als Weise, und kauft die Zeit aus.
30.09.2017	Samstag		Amos 3,6	Geschieht etwa ein Unglück in der Stadt, und der HERR hat es nicht getan?	Römer 14,8	Leben wir, so leben wir dem Herrn; sterben wir, so sterben wir dem Herrn. Darum: wir leben oder sterben, so sind wir des Herrn.
01.10.2017	Sonntag	Zum Erntedankfest	1.Samuel 1,11	Hanna betete: HERR Zebaoth, wirst du das Elend deiner Magd ansehen und an mich gedenken und deiner Magd nicht vergessen?	Römer 4,17	Er ruft das, was nicht ist, dass es sei.
02.10.2017	Montag		Jesaja 42,6	Ich, der HERR, habe dich gerufen in Gerechtigkeit und halte dich bei der Hand.	Johannes 8,12	/Jesus spricht:/ Ich bin das Licht der Welt. Wer mir nachfolgt, der wird nicht wandeln in der Finsternis, sondern wird das Licht des Lebens haben.
03.10.2017	Dienstag		Psalm 107,3.8	Die er aus den Ländern zusammengebracht hat von Osten und Westen, von Norden und Süden: Die sollen dem HERRN danken für seine Güte und für seine Wunder, die er an den Menschenkindern tut.	Kolosser 1,19-20	Es hat Gott gefallen, alle Fülle in Christus wohnen zu lassen und durch ihn alles zu versöhnen zu ihm hin, es sei auf Erden oder im Himmel, indem er Frieden machte durch das Blut am Kreuz.
